Total commits: 1028
Total ctimes: 5139
Total files: 258
Total loc: 22981
| Author                    |   loc |   coms |   fils |  distribution   |
|:--------------------------|------:|-------:|-------:|:----------------|
| Roland Pihlakas           | 19500 |    490 |    132 | 84.9/47.7/51.2  |
| Joel Pyykkö               |  2060 |    157 |     36 | 9.0/15.3/14.0   |
| derdre                    |   445 |     62 |     27 | 1.9/ 6.0/10.5   |
| U-SKETCHER\Gunnar Zarncke |   392 |     12 |     12 | 1.7/ 1.2/ 4.7   |
| a.kochanke                |   337 |    145 |     24 | 1.5/14.1/ 9.3   |
| Gunnar Zarncke            |   127 |      1 |      1 | 0.6/ 0.1/ 0.4   |
| Nathan Helm-Burger        |    81 |     63 |     12 | 0.4/ 6.1/ 4.7   |
| ak                        |    15 |      1 |      3 | 0.1/ 0.1/ 1.2   |
| Hauke Rehfeld             |    11 |     57 |      4 | 0.0/ 5.5/ 1.6   |
| Orpheus Lummis            |     9 |      2 |      3 | 0.0/ 0.2/ 1.2   |
| postuur                   |     4 |     36 |      4 | 0.0/ 3.5/ 1.6   |
| NathanNeuro               |     0 |      2 |      0 | 0.0/ 0.2/ 0.0   |
